  n  player  taxman  diff
554   65677   88058   22381
555   66240   88050   21810
556   66240   88606   22366
557   66787   88616   21829
558   66787   89174   22387
559   66787   89733   22946
560   67039   90041   23002
561   67563   90078   22515
562   67563   90640   23077
563   68120   90646   22526
564   68496   90834   22338
565   68835   91060   22225
566   68835   91626   22791
567   69332   91696   22364
568   69616   91980   22364
569   70179   91986   21807
570   70467   92268   21801
571   71036   92270   21234
572   71036   92842   21806
573   71398   93053   21655
574   71316   93709   22393
575   71351   94249   22898
576   71351   94825   23474
577   71922   94831   22909
578   71922   95409   23487
579   72304   95606   23302
580   72304   96186   23882
581   72719   96352   23633
582   72719   96934   24215
583   73563   96673   23110
584   73855   96965   23110
585   74353   97052   22699
586   74353   97638   23285
587   74930   97648   22718
588   74930   98236   23306
589   74930   98825   23895
590   74930   99415   24485
591   75316   99620   24304
592   75612   99916   24304
593   76199   99922   23723
594   76199  100516   24317
595   76624  100686   24062
596   76624  101282   24658
597   77018  101485   24467
598   77018  102083   25065
599   77611  102089   24478
600   77911  102389   24478
601   78510  102391   23881
602   78424  103079   24655
603   78424  103682   25258
604   78424  104286   25862
605   78809  104506   25697
606   78809  105112   26303
607   79410  105118   25708
608   79634  105502   25868
609   80223  105522   25299
610   80223  106132   25909
611   80740  106226   25486
612   80192  107386   27194
613   80799  107392   26593
614   80799  108006   27207
615   81154  108266   27112
616   81054  108982   27928
617   81667  108986   27319
618   81667  109604   27937
619   82284  109606   27322
620   82588  109922   27334
621   82680  110451   27771
622   82680  111073   28393
623   83125  111251   28126
624   83425  111575   28150
625   83776  111849   28073
626   83776  112475   28699
627   84270  112608   28338
628   84270  113236   28966
629   85278  112857   27579
630   85488  113277   27789
631   86107  113289   27182
632   86423  113605   27182
633   86821  113840   27019
634   86821  114474   27653
635   87202  114728   27526
636   87626  114940   27314
637   87626  115577   27951
638   87626  116215   28589
639   87626  116854   29228
640   87914  117206   29292
641   88545  117216   28671
642   88545  117858   29313
643   89186  117860   28674
644   88818  118872   30054
645   89205  119130   29925
646   89205  119776   30571
647   89848  119780   29932
648   89944  120332   30388
649   90357  120568   30211
650   90357  121218   30861
651   90667  121559   30892
652   90667  122211   31544
653   91314  122217   30903
654   91314  122871   31557
655   91707  123133   31426
656   92035  123461   31426
657   92035  124118   32083
658   91941  124870   32929
659   92594  124876   32282
660   93214  124916   31702
661   93873  124918   31045
662   93873  125580   31707
663   94948  125168   30220
664   95280  125500   30220
665   96112  125333   29221
666   96112  125999   29887
667   97192  125586   28394
668   97192  126254   29062
669   97614  126501   28887
670   97614  127171   29557
671   98041  127415   29374
672   97945  128183   30238
673   98606  128195   29589
674   98606  128869   30263
675   98747  129403   30656
676   98747  130079   31332
677   99420  130083   30663
678   99420  130761   31341
679   99905  130955   31050
680  100245  131295   31050
